tick_unix,tick_iso,node,presence_online,ps_received,ps_completed,ps_timed_out,ps_max_ms,ms_received,ms_completed,ms_timed_out,ms_max_ms,bk_received,bk_completed,bk_timed_out,bk_max_ms,rd_pubsub_latest,rd_pubsub_max,rd_pubsub_cap,rd_ms_latest,rd_ms_max,rd_ms_cap,rd_bk_latest,rd_bk_max,rd_bk_cap
1777323709,2026-04-27T21:01:49Z,saorsa-3,5,5374,5374,0,207,13298,13298,0,83,415,415,0,7,0,55,10000,0,1,4000,0,0,4000
1777323709,2026-04-27T21:01:49Z,saorsa-6,5,5513,5513,0,138,13199,13199,0,2,414,414,0,2,0,18,10000,0,1,4000,0,0,4000
1777323709,2026-04-27T21:01:49Z,saorsa-7,3,0,0,0,0,0,0,0,0,197,197,0,5,0,0,0,0,0,0,0,0,4000
1777323779,2026-04-27T21:02:59Z,saorsa-2,5,5066,5066,0,207,13677,13677,0,14,430,430,0,3,0,29,10000,0,1,4000,0,0,4000
1777323779,2026-04-27T21:02:59Z,saorsa-3,5,5495,5495,0,270,13605,13605,0,83,426,426,0,7,0,55,10000,0,1,4000,0,0,4000
1777323779,2026-04-27T21:02:59Z,saorsa-6,5,5641,5641,0,138,13503,13503,0,2,424,424,0,2,0,18,10000,0,1,4000,0,0,4000
1777323779,2026-04-27T21:02:59Z,saorsa-7,3,0,0,0,0,0,0,0,0,202,202,0,5,0,0,0,0,0,0,0,0,4000
1777323849,2026-04-27T21:04:10Z,saorsa-2,5,5112,5112,0,207,13980,13980,0,14,439,439,0,3,0,29,10000,0,1,4000,0,0,4000
1777323849,2026-04-27T21:04:10Z,saorsa-3,5,5553,5553,0,270,13908,13908,0,83,435,435,0,7,0,55,10000,0,1,4000,0,0,4000
1777323849,2026-04-27T21:04:10Z,saorsa-6,5,5724,5724,0,138,13802,13802,0,2,433,433,0,2,0,18,10000,0,1,4000,0,0,4000
1777323849,2026-04-27T21:04:10Z,saorsa-7,3,0,0,0,0,0,0,0,0,206,206,0,5,0,0,0,0,0,0,0,0,4000
1777323919,2026-04-27T21:05:19Z,saorsa-2,5,5176,5176,0,207,14284,14284,0,14,447,447,0,3,0,29,10000,0,1,4000,0,0,4000
1777323919,2026-04-27T21:05:19Z,saorsa-3,5,5624,5624,0,270,14213,14213,0,83,444,444,0,7,0,55,10000,0,1,4000,0,0,4000
